id_autor,autor_genero,nombre_autor,autor_rating_promedio,cantidad_rating_autor,cantidad_comentarios,id_pais
12089485,Masculino,Kayla Howarth,4.14,4332,447,14
5824220,Masculino,Dionne Lister,4.18,1209,347,14
6860161,Femenino,K.M. Golland,4.24,17941,2066,14
6876994,Femenino,Kate McCarthy,4.17,28045,3151,14
1120780,Masculino,Sean Kennedy,4.2,15874,1996,14
2841445,Masculino,Zathyn Priest,3.88,5943,947,14
6935697,Masculino,G.J. Walker-Smith,4.35,19921,1438,14
30033,Femenino,Justine Larbalestier,3.59,50287,7683,14
7201181,Femenino,Lauren Nicolle Taylor,3.99,6886,816,14
5779458,Femenino,Annie Seaton,3.95,5640,1345,14
6533979,Femenino,Riley Banks,3.73,307,127,14
7382629,Masculino,Tonya Alexandra,3.61,309,98,14
7065134,Femenino,Kirsty Dallas,4.03,9432,1236,14
7722020,Masculino,Simon W. Clark,3.93,220,95,14
56667,Femenino,Germaine Greer,3.69,9498,806,14
8123141,Femenino,Sally Hepworth,3.9,38396,5575,14
70906,Masculino,John Harwood,3.46,14862,2004,14
5763301,Femenino,Bec McMaster,3.96,33401,4015,14
18741,Masculino,Max Barry,3.81,54171,6198,14
16143,Femenino,Kate Forsyth,4.06,43289,3184,14
6569504,Masculino,Hannah Kent,3.99,79486,11308,14
3405767,Femenino,Portia de Rossi,3.84,35954,2588,14
21163,Femenino,Jill Ker Conway,4.1,13150,785,14
7243737,Femenino,T. Gephart,4.14,13343,2296,14
6880531,Masculino,Angela Richardson,3.93,3890,528,14
3119823,Femenino,Kirsty Eagar,3.73,6965,1059,14
2098,Femenino,Elizabeth von Arnim,3.91,19051,2888,14
345873,Femenino,Joan Lindsay,3.71,11205,1202,14
7792163,Masculino,Christopher Clark,4.17,9622,977,14
6568891,Masculino,Allyse Near,4.16,900,221,14
14047384,Femenino,Amo Jones,4.21,24176,4608,14
16304661,Femenino,Lee Piper,4.34,375,278,14
16851087,Femenino,Ella Fields,4.11,10907,2210,14
980856,Femenino,Patti Roberts,3.95,2124,468,14
15606198,Femenino,Nikki Moyes,3.98,446,101,14
5916592,Masculino,Melissa Bender,4.08,1498,167,14
4474657,Masculino,Leah Kaminsky,3.53,701,123,14
6434818,Femenino,Indigo Bloome,3.39,8230,773,14
15042820,Femenino,Shandi Boyes,4.43,5380,1403,14
8864,Masculino,Richard Flanagan,3.91,56102,7329,14
22595,Masculino,Peter Carey,3.6,73884,6235,14
7471,Masculino,D.B.C. Pierre,3.55,29963,1694,14
3394874,Masculino,A.B. Gayle,3.76,2000,522,14
31247,Masculino,Jennifer Fallon,4.03,42416,1644,14
10476658,Femenino,Jennifer Foxcroft,4.51,72,26,14
296477,Masculino,Anna Campbell,3.82,30758,3698,14
19909,Femenino,Sarah Mayberry,3.78,38405,4325,14
5355122,Femenino,Angela M. Hudson,4.26,14194,1194,14
6534710,Masculino,Eden Summers,4.06,19139,3128,14
1386355,Femenino,Lexxie Couper,3.69,21086,2162,14
7271354,Femenino,Laura Elizabeth Woollett,3.87,570,121,14
